"","iso3","age","aget","ageb","pcgs","cpcgs"
"1","IND",57474.302503279,73123.961742623,43458.7490909712,27,27
"2","CHN",22054.945398174,26056.7244666612,18196.3369323142,10,38
"3","NGA",19833.9973476144,23869.8271478501,16122.2205109945,9,47
"4","IDN",14232.5550698579,18968.071862135,10328.2560436359,7,54
"5","COD",9709.72132272735,11766.5102417022,7913.70639121624,5,58
"6","BGD",9464.83465034802,11879.1563607953,7350.92596967418,4,63
"7","PAK",6749.49846072552,10049.8807907512,3977.30148106287,3,66
"8","MOZ",4529.51495759027,5447.19075092267,3705.62751300914,2,68
"9","TZA",4136.04975389672,5287.22297337322,3114.9345129297,2,70
"10","ZAF",3666.02731354097,5379.881108487,2455.12784169546,2,72
